Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,med_household_income,total_pop,race_white,race_black,race_native,race_asian,race_pi,other_race,mixed_race,workers_over16,commute_car,drive_alone,commute_carpool,public_transport,commute_motorcyle,commute_bicycle,commute_walk,commute_other,commute_wfh,avg_commute_min,pop_density,area_land
06037195201,14000US06037195201,Census Tract 1952.01,"Census Tract 1952.01, Los Angeles County, California",ca,140,00,ACSSF,0004333,06,037,195201,80833,3106,2187,31,14,344,0,282,248,1960,1482,1407,75,27,10,29,98,25,289,32,13389.12,0.231979453
06037195202,14000US06037195202,Census Tract 1952.02,"Census Tract 1952.02, Los Angeles County, California",ca,140,00,ACSSF,0004334,06,037,195202,106316,3315,2636,53,0,377,35,20,194,1912,1335,1250,85,107,0,35,61,9,365,32,9779.027,0.33899076
06037195300,14000US06037195300,Census Tract 1953,"Census Tract 1953, Los Angeles County, California",ca,140,00,ACSSF,0004335,06,037,195300,68819,3222,2036,26,0,467,7,606,80,1869,1402,1318,84,269,0,0,40,16,142,32,14379.18,0.224074011
06037195400,14000US06037195400,Census Tract 1954,"Census Tract 1954, Los Angeles County, California",ca,140,00,ACSSF,0004336,06,037,195400,89668,4474,3350,63,0,479,0,349,233,3096,2238,2124,114,255,18,73,17,0,495,33,11246.34,0.397818445
06037195500,14000US06037195500,Census Tract 1955,"Census Tract 1955, Los Angeles County, California",ca,140,00,ACSSF,0004337,06,037,195500,89830,5600,3322,116,18,1030,25,636,453,3383,2749,2414,335,41,81,0,85,0,427,31,11935.32,0.46919561
06037195600,14000US06037195600,Census Tract 1956,"Census Tract 1956, Los Angeles County, California",ca,140,00,ACSSF,0004338,06,037,195600,70870,3178,1861,31,0,331,0,772,183,1890,1399,1250,149,202,0,35,49,0,205,31,15601.3,0.203700944
06037195710,14000US06037195710,Census Tract 1957.10,"Census Tract 1957.10, Los Angeles County, California",ca,140,00,ACSSF,0004339,06,037,195710,44911,4603,2036,136,19,404,0,1806,202,2082,1443,1115,328,401,0,22,104,0,112,32,24661.91,0.186644108
06037195720,14000US06037195720,Census Tract 1957.20,"Census Tract 1957.20, Los Angeles County, California",ca,140,00,ACSSF,0004340,06,037,195720,45733,2079,833,7,5,186,25,852,171,1173,746,553,193,208,7,68,43,0,101,37,18632.81,0.111577351
06037195802,14000US06037195802,Census Tract 1958.02,"Census Tract 1958.02, Los Angeles County, California",ca,140,00,ACSSF,0004341,06,037,195802,58981,2817,750,69,14,713,0,1197,74,1475,1151,1050,101,182,8,5,44,14,71,32,18125.71,0.15541462
06037195803,14000US06037195803,Census Tract 1958.03,"Census Tract 1958.03, Los Angeles County, California",ca,140,00,ACSSF,0004342,06,037,195803,68125,2724,1614,116,21,293,0,612,68,1656,1286,1127,159,205,0,24,18,0,123,28,18694.43,0.145711872
06037195804,14000US06037195804,Census Tract 1958.04,"Census Tract 1958.04, Los Angeles County, California",ca,140,00,ACSSF,0004343,06,037,195804,67829,2600,1330,134,0,412,0,581,143,1545,1148,1099,49,195,0,10,45,10,137,31,20050.23,0.129674346
06037195901,14000US06037195901,Census Tract 1959.01,"Census Tract 1959.01, Los Angeles County, California",ca,140,00,ACSSF,0004344,06,037,195901,59063,2088,1298,39,11,308,0,419,13,1283,888,835,53,141,0,52,24,23,155,30,18591.56,0.112309015
06037195902,14000US06037195902,Census Tract 1959.02,"Census Tract 1959.02, Los Angeles County, California",ca,140,00,ACSSF,0004345,06,037,195902,68036,1807,1176,57,0,246,0,252,76,1107,834,827,7,69,11,41,63,0,89,30,14114.91,0.12802067
06037195903,14000US06037195903,Census Tract 1959.03,"Census Tract 1959.03, Los Angeles County, California",ca,140,00,ACSSF,0004346,06,037,195903,52833,2165,1118,26,4,355,0,519,143,1271,1007,895,112,121,0,9,15,10,109,31,23551.87,0.09192475
06037197200,14000US06037197200,Census Tract 1972,"Census Tract 1972, Los Angeles County, California",ca,140,00,ACSSF,0004347,06,037,197200,54417,3831,1362,107,43,995,0,1085,239,1990,1760,1379,381,113,0,26,10,42,39,33,13334.27,0.287304806
06037197300,14000US06037197300,Census Tract 1973,"Census Tract 1973, Los Angeles County, California",ca,140,00,ACSSF,0004348,06,037,197300,81778,4080,2427,106,1,771,0,614,161,2807,2107,1974,133,317,29,15,120,9,210,29,16151.65,0.252605804
06037197410,14000US06037197410,Census Tract 1974.10,"Census Tract 1974.10, Los Angeles County, California",ca,140,00,ACSSF,0004349,06,037,197410,102631,4552,3228,101,50,538,11,266,358,2721,2082,1916,166,184,10,26,28,68,323,31,8461.602,0.537959635
06037197420,14000US06037197420,Census Tract 1974.20,"Census Tract 1974.20, Los Angeles County, California",ca,140,00,ACSSF,0004350,06,037,197420,60648,3580,1602,145,119,383,0,1006,325,1806,1390,1301,89,198,0,0,45,10,163,31,15062.52,0.237676005
06037197500,14000US06037197500,Census Tract 1975,"Census Tract 1975, Los Angeles County, California",ca,140,00,ACSSF,0004351,06,037,197500,64109,3738,1952,261,30,602,0,823,70,2316,1607,1393,214,341,9,0,82,9,268,29,16644.33,0.224580963
06037197600,14000US06037197600,Census Tract 1976,"Census Tract 1976, Los Angeles County, California",ca,140,00,ACSSF,0004352,06,037,197600,65865,2194,1003,7,44,388,0,622,130,1394,1003,815,188,143,0,40,74,0,134,25,14634.13,0.149923475
06037197700,14000US06037197700,Census Tract 1977,"Census Tract 1977, Los Angeles County, California",ca,140,00,ACSSF,0004353,06,037,197700,44719,5146,1648,159,174,2250,0,627,288,2786,2043,1731,312,357,26,0,157,20,183,31,18992.14,0.270954151
